ลำดับ,"วัน/เดือน/ปี 
ที่ติดต่อเข้ามา",ชื่อผู้สนใจ/ชื่อ Facebook,Line,Facebook,ปกติ,สมทบ,ทางไกล,ปริญญา,คณะ,สาขา,วุฒิที่ใช้สมัคร,ผ่อนตรง,กู้ กยศ,"เบอร์โทร
ให้ติดต่อกลับ","วัน/เดือน/ปี
ที่ให้โทร",ช่วงเวลาให้ติดต่อกลับ,หมายเหตุ,ชื่อแอดมินที่ดูแล,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,,,,
286,18/1/2025,PEUL RAQUA,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
287,18/1/2025,Meltip Nujo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
288,18/1/2025,Nuver Sonul,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
289,18/1/2025,Nohel Andar,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
290,18/1/2025,Lele Noya,,ü,,,ü,โท,บริหารธุรกิจ,,,,,0997135031,ไม่สมัคร,12.00,,ต้นกล้า,21/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 14/03/2025 ยังไม่ตัดสินใจ,ปุ้ยโทร 17/03/2025 สนใจเรียนภาคทางไกล,,,,,,,
291,18/1/2025,Wanjo Sawy,,ü,,,,,,,,,,,,,,ปุ้้้ย,,,,,,,,,,
292,18/1/2025,Taver Melver,,ü,,,,,,,,,,,,,,ปุ้้้ย,,,,,,,,,,
293,18/1/2025,Vinka Wyrat,,ü,,,,,,,,,,,,,,ปุ้้้ย,,,,,,,,,,
294,18/1/2025,Sonix Pean,,ü,,,,,,,,,,,,,,ปุ้้้ย,,,,,,,,,,
295,18/1/2025,Bobo Wymon Lurat Kape ,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,ป.ตรี,ü,,,,,,ปุ้้้ย,,,,,,,,,,
296,18/1/2025,Rator Najo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
297,18/1/2025,เพ็ญชัย จิตบุญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
298,18/1/2025,Jobo Jobo Kitqua,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
299,18/1/2025,Ratwy Deefa,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
300,18/1/2025,Kitkit Lubo,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
301,18/1/2025,PERI,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0901469356,ไม่สมัคร,17.30,อยากเรียนเฉพาะเสาร์อาทิตย์,ต้นกล้า,21/1/2026 ขอปรึกษาครอบครัวก่อน,31/1/2025 ขอปรึกษาครอบครัวก่อน,6/2/2025 ขอปรึกษาครอบครัวก่อน,8/2/2025 ไม่รับสาย,ปุ้้ยโทร 24/03/2025 สนใจสมัคร รอเงินเดือนออก,ปุ้้ยโทร 27/03/2025 สมัครเรียบร้อย รอส่งเอกสาร,,,,
302,18/1/2025,Darjo Tipbo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
303,19/1/2025,Sapim Darlu,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
304,19/1/2025,Kitpe Wyjo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
305,19/1/2025,Nuwan Nari,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
306,19/1/2025,ฟ้าจิต มั่นยิ่ง,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปริญญาตรี,,,,,,,ต้นกล้า,,,,,,,,,,
307,19/1/2025,กัญแก้ว ทิพจิต,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
308,19/1/2025,Chaijo Rari,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
309,19/1/2025,ปิ่นจิต ปรีดาดี,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,,,0622298364,ไม่ต้องโทร.,ไม่ต้องโทร.,นัดชำระ 500 บาท,ต้นกล้า,16/02/2025 ขอปรึกษาครอบครัวก่อน,,,,,,,,,
310,19/1/2025,Verson Verdee,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
311,19/1/2025,GUNLU Yaom Luzen,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
312,19/1/2025,เพ็ญวัน ปิ่นปั้น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
313,19/1/2025,กัญนิ่ม สินทิพ ทิพทิพ ภู่น้ำ,,ü,,,,,,,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
314,19/1/2025,Sonta Torrat,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
315,19/1/2025,Tipson Helix,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
316,19/1/2025,Gunson Riya,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
317,19/1/2025,Chaisir Anlu,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
318,19/1/2025,Fajo Vintor,,ü,,,ü,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
320,19/1/2025,Omvin Yavin,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
321,19/1/2025,Wanra Zenra,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
322,19/1/2025,Gunrat Peno,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
323,19/1/2025,ธิดากัญ ขวัญดี,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
324,19/1/2025,จิตกัญ รุ่งวิไล,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
325,19/1/2025,สินเพ็ญ ภู่มั่น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
326,19/1/2025,Anul Sasir,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
327,19/1/2025,Ulan Helzen,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
328,19/1/2025,Monfa Deequa Raom,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
329,19/1/2025,Sirya Tipqua,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
330,19/1/2025,Leson Tabo,,ü,,,,,,,,,,,,,อายุ 32 ทำงานแล้ว,ต้นกล้า,,,,,,,,,,
331,19/1/2025,Pimwan Deejo,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
332,19/1/2025,Chaisir Rason,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
333,19/1/2025,Nadee Pimwan,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
334,19/1/2025,Riwan Wanlu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0915934500,ไม่สมัคร,,,ต้นกล้า,21/1/2025 ขอดูค่าใช้จ่ายก่อน,27/1/2025 ขอดูค่าใช้จ่ายก่อน,,,,,,,,
335,19/1/2025,รุ่งจันทร์ สุขรัก,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
336,19/1/2025,Melpim Montip,,ü,ü,,,ตรี,บริหารธุรกิจ,การตลาด,ม.6,ü,,,,,ขอเอกสารหลักสูตรทางไลน์,ปุ้ย,,,,,,,,,,
337,19/1/2025,ปิ่นวัน จิตวัน,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,,,,,ปุ้ย,,,,,,,,,,
338,19/1/2025,Zenjo Sirix,,ü,,,ü,ตรี,,,,,,,,,,ปุ้ย,,,,,,,,,,
339,19/1/2025,ดีจันทร์ นิ่มมั่น ปั้นเดือน,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
340,19/1/2025,Jochai Tadee,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0646408667,สมัครแล้ว,11.00,เคยสมัครไว้ปีที่แล้ว,ปุ้ย,22/1/2025 ขอดูค่าใช้จ่ายก่อน,27/1/2025 ขอคิดดูก่อน,,,,,,,,
341,19/1/2025,Meltip Nujo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ปุ้ย,,,,,,,,,,
342,19/1/2025,Pechai SIRKIT,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
343,19/1/2025,กิ่งภัทร ณัฐปรีดา,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,ü,ü,0981426764,ไม่สมัคร,12.00-13.00,แอดไลน์กลับมาเรียบร้อยแล้ว,ต้นกล้า,22/1/2025 ขอปรึกษาครอบครัวก่อน,27/1/2025 ได้ที่เรียนแล้ว,,,,,,,,
344,20/1/2025,นุชวัน สินมณี,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
345,20/1/2025,Rara Tipchai,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0621848736,ไม่สมััคร,17.00,,ต้นกล้า,27/1/2025 ได้ที่เรียนแล้ว,ปุ้ยโทร 24/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,,
346,20/1/2025,ฤดีปั้น 'กัญกิ่ง,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
347,20/1/2025,Omna Yazen,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
348,20/1/2025,Darsa Perat-Peya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
349,20/1/2025,Deena Ratna,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,,,,,,,,ต้นกล้า,,,,,,,,,,
350,20/1/2025,Zentor Tawan,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
351,20/1/2025,อุ่นธิดา ต้นนุช,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
352,20/1/2025,Monmel Darri,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
353,20/1/2025,Tipix Anra,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
319,19/1/2025,Lukit Rino,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,ü,0673610556,ไม่สมัคร,19.30,,ต้นกล้า,21/1/2025 ยังไม่ตัดสินใจ,27/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 14/03/2025 ขอปรึกษาครอบครัวก่อน,ต้นโทร 15/3/2025 13.04 น. ยังไม่ตัดสินใจ,ปุ้ยโทร 15/03/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 23/03/2025 สมัครเรียบร้อย รอส่งเอกสาร,,,,
354,20/1/2025,Wyka Jota,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,ü,,0907665561,ไม่ต้องโทร,19.30,,ต้นกล้า,ยังไม่ตัดสินใจ,27/1/2025 ไม่รับสาย,ปุ้ยโทร 14/03/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 15/03/2025 ปิดเครื่อง,ปุ้ยโทร 22/03/2025 ปิดเครื่อง,ปุ้้ยโทร 24/03/2025 ไม่รับสาย,,,,
355,20/1/2025,เพ็ญอัญ' นิ่มทิพ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
356,20/1/2025,วันดี บุญกุล,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
357,20/1/2025,ANGUN RIIX,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,0612424329,ไม่สมัคร,15.00-17.00,,ต้นกล้า,21/1/2025 ขอคิดดูก่อน,27/1/2025 ไม่รับสาย,ปุ้ยโทร 13/03/2025 ขอดูค่าใช้จ่ายก่อน,ต้นโทร 18/3/2025 15.24 น. ขอดูค่าใช้จ่ายก่อน,ต้นโทร 22/3/2025 ไม่ได้รับสาย,ต้นโทร 24/3/2025 14.42 น. ไม่ได้รับสาย,,,,
358,20/1/2025,Kaom Ulka,,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0986220760,ไม่สมััคร,15.00,,ต้นกล้า,21/1/2025 ยังไม่ตัดสินใจ,27/1/2025 ขอดูค่าใช้จ่ายก่อน,,,,,,,,
359,20/1/2025,Wanya Bover,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
360,21/1/2025,Kana Yagun,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
361,21/1/2025,Ponvin Raom,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
362,21/1/2025,Wywy Yawy,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
363,21/1/2025,Anmel Vinvin,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
364,21/1/2025,ภู่พร้อม ฟ้าอุ่น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
365,21/1/2025,Wywy Verri Helmel,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
366,21/1/2025,Luom Zenpim,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
367,21/1/2025,Ratwan Ponan,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
368,21/1/2025,Chaiver Boix,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
369,21/1/2025,Ratom Pimmel,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
370,21/1/2025,Rika Kitrat,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
371,21/1/2025,Luix Melsa,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,,,,,,,,ต้นกล้า,,,,,,,,,,
372,21/1/2025,Quaul Gunchai-anya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
373,21/1/2025,Kagun Yapim,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
374,21/1/2025,Sirchai Talu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
375,21/1/2025,Ulrat Peix,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
376,21/1/2025,Nasa Nasa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0628608267,ไม่สมัคร,13.00,,ต้นกล้า,22/1/2025 ขอดูค่าใช้จ่ายก่อน,27/1/2025 ขอดูค่าใช้จ่ายก่อน,,,,,,,,
377,21/1/2025,กุลอัญ ภูมิธิดา,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,0682017413,ไม่่สมัคร,,ช่่วงเย็นสะดวกคุย,ต้นกล้า,16/2/2025 ยังไม่ตัดสินใจ,ต้นโทร 16/3/2025 12.08 น. สนใจสมัคร ขอเวลาตัดสินใจ,ปุ้้ยโทร 22/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,
378,21/1/2025,Nadee Taom,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
379,21/1/2025,Sirver Ponpon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
380,21/1/2025,Deetip Helan,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
381,21/1/2025,Ponzen Fator,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
382,22/1/2025,Ratix Tipra,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0627815207,ไม่ต้้องโทร,13.00,รอปรึกษาที่บ้านก่อน,ต้นกล้า,27/1/2025 ยังไม่ตัดสินใจ,ปุ้ยโทร 14/03/2025 ขอปรึกษาครอบครัวก่อน,ต้นโทร 15/3/2025 13.23 น. สนใจเรียนภาคทางไกล,ต้นโทร 18/3/2025 13.17 น. ยังไม่ตัดสินใจ,ต้นโทร 22/3/2025 ไม่ได้รับสาย,ปุ้ยโทร 23/03/2025 ไม่รับสาย,,,,
383,22/1/2025,,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,ü,0648237676,ไม่ต้้องโทร,17.00,สะดวกคุยทางไลน์มากกว่า,ต้นกล้า,22/1/2025 สนใจสมัคร ขอเวลาตัดสินใจ,27/1/2025 ขอปรึกษาครอบครัวก่อน,8/2/2025 ขอคิดดูก่อน,ปุ้ยโทร 29/03/2025 ยังไม่ตัดสินใจ,,,,,,
384,22/1/2025,นิ่มจันทร์ น้ำพร้อม,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
385,22/1/2025,Ratpe Monver,,ü,,,,,,,,,,,,,ขอเวลาตัดสินใจ,ต้นกล้า,,,,,,,,,,
386,22/1/2025,Ratnu Anix,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
387,22/1/2025,Verpe Boka,,ü,,,ü,โท,,,,,,,,,อายุ 32 ทำงานแล้ว,ต้นกล้า,,,,,,,,,,
388,22/1/2025,Ixan Letip,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0628633603,10/01/2026,17.30,,ต้นกล้า,22/1/2025 ขอคิดดูก่อน,6/2/2025 ไม่ได้รับสาย,ปุ้ยโทร 14/03/2025 สนใจสมัคร รอเงินเดือนออก,,,,,,,
389,22/1/2025,Bomel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,ü,0887234052,สมัครแล้ว,18.10,ขอเอกสารหลักสูตรทางไลน์,ต้นกล้า,22/1/2025 ขอปรึกษาครอบครัวก่อน,สนใจเรียนภาคทางไกล,27/1/2025 นัดโทรอีกครั้งสัปดาห์หน้า,,,,,,,
390,22/1/2025,Tipwy RAHEL. Tari,,ü,,,ü,โท,,,,,,,,,มีประกันสังคม ถามเรื่องสิทธิ์,ต้นกล้า,,,,,,,,,,
391,22/1/2025,Nadar Nadar,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
392,22/1/2025,ภัทรมณี พร้อมจันทร์,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
393,22/1/2025,ใบ้ชื่น ดีเพ็ญ,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
394,22/1/2025,เดือนฟ้า แก้วเพ็ญ,,ü,,,ü,ตรี,นิติศาสตร์,นิติศาสตร์,ม.6,ü,,0951295185,ไม่ต้้องโทร,ช่วงบ่าย,,ต้นกล้า,22/1/2025 ขอดูค่าใช้จ่ายก่อน,27/1/2025 ไม่รับสาย,ต้นโทร 14/3/2025 13.35 น. สนใจเรียนภาคทางไกล,ต้นโทร 18/3/2025 13.15 น. ปิดเครื่อง,ปุ้้ยโทร 22/03/2025 ปิดเครื่อง,ปุ้ยโทร 23/03/2025 ไม่รับสาย,,,,
395,22/1/2025,Torfa Helpon,,ü,,ü,,ตรี,วิศวกรรมศาสตร์,วิศวกรรมโยธา,ปวส.,,,0993475617,ไม่สมัคร,,,ต้นกล้า,16/02/2025 ไม่รับสาย,ปุ้ยโทร 13/03/2025 ยังไม่ตัดสินใจ,,,,,,,,
396,22/1/2025,Sirson Rapon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,,,,,,,,ต้นกล้า,,,,,,,,,,
397,22/1/2025,Pejo Sirpon,,ü,,,ü,โท,,,,,,,,,มีประกันสังคม ถามเรื่องสิทธิ์,ต้นกล้า,,,,,,,,,,
398,22/1/2025,Kavin Vinpe,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
399,22/1/2025,Taka Deeka,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
400,22/1/2025,มั่นปรีดา วิไลเดือน,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,,ü,0614463082,ไม่ต้องโทร,18.30,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,ต้นกล้า,22/1/2025 ขอคิดดูก่อน,ปุ้ยโทร 13/03/2025 ยังไม่ตัดสินใจ,ต้นโทร 18/3/2025 15.27 น. ไม่รับสาย,ต้้นโทร 22/3/2025 ปิดเครื่อง,ปุ้ยโทร 23/03/2025 ไม่รับสาย,ปุ้้ยโทร 24/03/2025 ไม่รับสาย,,,,
401,22/1/2025,Sirvin Chaiom,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,ü,,0912160651,สมัครแล้ว,18.00,ส่งวุฒิมาให้ดูเทียบโอนหน่วยกิต,ต้นกล้า,22/1/2025 สนใจสมัคร รอเงินเดือนออก,,,,,,,,,
402,22/1/2025,Torix Ravin,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,,,,,ต้นกล้า,,,,,,,,,,
403,22/1/2025,Ixwy Naul,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
404,22/1/2025,Taom,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,0965184306,ติดตาม,10.00,,ต้นกล้า,27/1/2025 ไม่รับสาย,ต้นโทร 13/3/2025 11.47 น. สนใจเรียนภาคทางไกล,,,,,,,,
405,23/1/2025,Wychai Kitbo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
406,23/1/2025,ต้นต้น ภูมิเพ็ญ ภัทรฤดี,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
407,23/1/2025,ต้นธิดา รุ่งฟ้า,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปริญญาตรี,,,,,,,ต้นกล้า,,,,,,,,,,
408,23/1/2025,Bono Namon,,ü,,,ü,โท,,,,,,,,,,ต้นกล้า,,,,,,,,,,
409,23/1/2025,ทิพบุญ จันทร์พิม ฤดีปิ่น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
410,23/1/2025,Darix Jomon,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
411,23/1/2025,Ratjo Jora,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,,,,0920130881,ไม่สมัคร,,,ต้นกล้า,16/02/2025 ไม่รับสาย,ต้นโทร 13/3/2025 11.51 น. ยังไม่ตัดสินใจ,ปุ้้ยโทร 23/03/2025 สนใจเรียนภาคทางไกล,,,,,,,
412,23/1/2025,Pegun Nuwy,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,ü,,0981133776,ไม่ต้องโทร,ช่่วงเย็น,,ต้นกล้า,27/1/2025 ยังไม่ตัดสินใจ,ต้นโทร 13/3/2025 16.30 น. ไม่รับสาย,ต้้นโทร 16/3/2025 16.59 น. ไม่ได้รับสาย,18/02/2025 ขอปรึกษาครอบครัวก่อน,ปุ้ยโทร 26/03/2025 ไม่ได้รับสาย,ปุ้้ยโทร 27/03/2025 ไม่ได้รับสาย,,,,
413,23/1/2025,Melmon Kitfa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
414,23/1/2025,Fapim Vinul,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
415,23/1/2025,สินกัญ ขวัญชัย,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
416,23/1/2025,กิ่งต้น นุชพร้อม,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
417,23/1/2025,Peom Melmel,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
418,23/1/2025,Kafa Zenchai,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,,,,,ต้นกล้า,,,,,,,,,,
419,23/1/2025,Helfa Quamon,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
420,23/1/2025,Sirul Ulra Nachai,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
421,23/1/2025,ชัยต้น ต้นเพ็ญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,ü,,0631248323,ไม่สมััคร,ช่่วงเย็น,,ต้นกล้า,27/1/2025 ไม่รับสาย,ต้นโทร 13/3/2025 16.34 น. ไม่ได้รับสาย,ต้นโทร 16/3/2025 17.02 น. ปิดเครื่อง,พี่ต่ายโทร 18/03/2025 ยังไม่ตัดสินใจ,,,,,,
422,23/1/2025,Chaichai Bosa,,ü,,,ü,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
423,23/1/2025,Torle Ratlu,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
424,23/1/2025,Verkit Darya,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,0914746088,ไม่่สมัคร,8.00-15.00,,ต้นกล้า,27/1/2025 ยังไม่ตัดสินใจ,ต้นโทร 18/3/2025 12.38 น. สนใจเรียนภาคทางไกล,,,,,,,,
425,23/1/2025,พร้อมสิน ธิดาธัญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,,,,,ต้นกล้า,,,,,,,,,,
426,23/1/2025,กัญปิ่น รักศิริ,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,,,,,ต้นกล้า,,,,,,,,,,
